"id";"prizeGroup";"memberId";"code";"locked";"token";"enteredCodeOn";"hasBeenPaidOn";"validUntil";"crypt";"tstamp";"hasBeenPaid";"ip"
"67";"7";"0";"faab0a5f";;;;;;;;;
"68";"8";"0";"04403acc";;;;;;;;;
"69";"9";"0";"7207187f";;;;;;;;;
"70";"10";"0";"2506b55c";;;;;;;;;
"71";"1";"0";"d718630r";;;;;;;;;
"72";"2";"0";"o278c3oo";;;;;;;;;
"73";"3";"0";"bcf4564i";;;;;;;;;
"74";"4";"0";"312dd07b";;;;;;;;;
"75";"5";"0";"k8k6c83l";;;;;;;;;
"76";"6";"0";"73c780bo";;;;;;;;;
"77";"7";"0";"14f0a4dl";;;;;;;;;
"78";"8";"0";"638cc83l";;;;;;;;;
"79";"9";"0";"578dtt3d";;;;;;;;;
"80";"10";"0";"cf03779p";;;;;;;;;
"81";"1";"0";"331a6d9d";;;;;;;;;
"82";"2";"0";"214238fa";;;;;;;;;
"83";"3";"0";"39b7892k";;;;;;;;;
"84";"4";"0";"58dbab0f";;;;;;;;;
"85";"5";"0";"2d8fb20s";;;;;;;;;
"86";"6";"0";"4aqq17fr";;;;;;;;;
"87";"7";"0";"68967dfb";;;;;;;;;
"88";"8";"0";"61c1a93q";;;;;;;;;
"89";"9";"0";"c514065g";;;;;;;;;
"90";"10";"0";"7207c16m";;;;;;;;;
"91";"1";"0";"b48j0b9k";;;;;;;;;
"92";"2";"0";"5fbc9b3c";;;;;;;;;
"93";"3";"0";"2dfa581a";;;;;;;;;
"94";"4";"0";"aba6ac2g";;;;;;;;;
"95";"5";"0";"8f338f1u";;;;;;;;;
"96";"6";"0";"81f6q9bf";;;;;;;;;
"97";"7";"0";"k317648b";;;;;;;;;
"98";"8";"0";"af8ca48p";;;;;;;;;
"99";"9";"0";"1365241f";;;;;;;;;
"100";"10";"0";"2602a04c";;;;;;;;;
"102";"2";"0";"091c811d";;;;;;;;;
"103";"3";"0";"1701729p";;;;;;;;;
"104";"4";"0";"36f5394d";;;;;;;;;
"105";"5";"0";"13ff8f7c";;;;;;;;;
"106";"6";"0";"226c641t";;;;;;;;;
"107";"7";"0";"06233fda";;;;;;;;;
"108";"8";"0";"fb6b41dp";;;;;;;;;
"109";"9";"0";"840fc46m";;;;;;;;;
"110";"10";"0";"61b14p4p";;;;;;;;;
"111";"1";"0";"24a92a3g";;;;;;;;;
"112";"2";"0";"0625217d";;;;;;;;;
"113";"3";"0";"25dfaaak";;;;;;;;;
"114";"4";"0";"27dbd69d";;;;;;;;;
"115";"5";"0";"cfcca82c";;;;;;;;;
"116";"6";"0";"5b8f63dd";;;;;;;;;
"117";"7";"0";"197950bp";;;;;;;;;
"118";"8";"0";"f623f6da";;;;;;;;;
"119";"9";"0";"26d1fb7p";;;;;;;;;
"120";"10";"0";"75a067dj";;;;;;;;;
"121";"1";"0";"rc91a4fd";;;;;;;;;
"122";"2";"0";"518cnbnd";;;;;;;;;
"123";"3";"0";"8691a30c";;;;;;;;;
"124";"4";"0";"d1f1k91o";;;;;;;;;
"125";"5";"0";"34ad832h";;;;;;;;;
"126";"6";"0";"0afk645k";;;;;;;;;
"127";"7";"0";"abbcf15t";;;;;;;;;
"128";"8";"0";"879d9f3c";;;;;;;;;
"129";"9";"0";"9f87230l";;;;;;;;;
"130";"10";"0";"dc98b65a";;;;;;;;;
"131";"1";"0";"93jb361b";;;;;;;;;
"132";"2";"0";"6d0a8b8f";;;;;;;;;
"133";"3";"0";"27828cbo";;;;;;;;;
"134";"4";"0";"3bc6j02d";;;;;;;;;
"135";"5";"0";"d834ub3r";;;;;;;;;
"136";"6";"0";"a85f18cg";;;;;;;;;
"137";"7";"0";"7f1980ft";;;;;;;;;
"138";"8";"0";"a9hc411m";;;;;;;;;
"139";"9";"0";"360c3a0l";;;;;;;;;
"140";"10";"0";"145ccm0m";;;;;;;;;
"141";"1";"0";"4427460f";;;;;;;;;
"142";"2";"0";"214afdfl";;;;;;;;;
"143";"3";"0";"d5f0254d";;;;;;;;;
"144";"4";"0";"1bf95fbi";;;;;;;;;
"145";"5";"0";"63a6f51j";;;;;;;;;
"146";"6";"0";"ad730dcr";;;;;;;;;
"147";"7";"0";"d298707q";;;;;;;;;
"148";"8";"0";"37232adt";;;;;;;;;
"149";"9";"0";"c5909f0t";;;;;;;;;
"150";"10";"0";"01c4f1ao";;;;;;;;;
"151";"1";"0";"f75466fn";;;;;;;;;
"152";"2";"0";"4f2448ao";;;;;;;;;
"153";"3";"0";"545d32bt";;;;;;;;;
"154";"4";"0";"4s56026h";;;;;;;;;
"155";"5";"0";"8of5467a";;;;;;;;;
"156";"6";"0";"5d06a6cm";;;;;;;;;
"157";"7";"0";"4pd3d13f";;;;;;;;;
"158";"8";"0";"afc151cn";;;;;;;;;
"159";"9";"0";"9b19d48d";;;;;;;;;
"160";"10";"0";"65c2284c";;;;;;;;;
"161";"1";"0";"438209bg";;;;;;;;;
"162";"2";"0";"8chdbadh";;;;;;;;;
"163";"3";"0";"8c6c958b";;;;;;;;;
"164";"4";"0";"f6c9389f";;;;;;;;;
"165";"5";"0";"5856b63d";;;;;;;;;
"166";"6";"0";"ad225c2d";;;;;;;;;
"167";"7";"0";"9bdda82a";;;;;;;;;
"168";"8";"0";"f92bfadb";;;;;;;;;
"169";"9";"0";"59b53a6r";;;;;;;;;
"170";"10";"0";"s30a451k";;;;;;;;;
"171";"1";"0";"1cn23f2c";;;;;;;;;
"172";"2";"0";"3a09339p";;;;;;;;;
"173";"3";"0";"148b0abi";;;;;;;;;
"174";"4";"0";"1k64331f";;;;;;;;;
"175";"5";"0";"7bibfa9u";;;;;;;;;
"176";"6";"0";"3g35bcca";;;;;;;;;
"177";"7";"0";"0aa4400f";;;;;;;;;
"178";"8";"0";"8f3627da";;;;;;;;;
"179";"9";"0";"a60dn56n";;;;;;;;;
"180";"10";"0";"aa354a4o";;;;;;;;;
"181";"1";"0";"afb1401b";;;;;;;;;
"182";"2";"0";"8c82a4fb";;;;;;;;;
"183";"3";"0";"ad16906l";;;;;;;;;
"184";"4";"0";"25bc398q";;;;;;;;;
"185";"5";"0";"0a0c74af";;;;;;;;;
"186";"6";"0";"43c0a5fr";;;;;;;;;
"187";"7";"0";"3t85543a";;;;;;;;;
"188";"8";"0";"4175db1c";;;;;;;;;
"189";"9";"0";"1c7ca62a";;;;;;;;;
"190";"10";"0";"dad872dn";;;;;;;;;
"191";"1";"0";"kk8bf7bp";;;;;;;;;
"192";"2";"0";"6c1a42da";;;;;;;;;
"193";"3";"0";"h8db863f";;;;;;;;;
"194";"4";"0";"b7746a6o";;;;;;;;;
"195";"5";"0";"dc93214u";;;;;;;;;
"196";"6";"0";"d8c0812r";;;;;;;;;
"197";"7";"0";"6b9cj7fb";;;;;;;;;
"198";"8";"0";"1b32ad8c";;;;;;;;;
"199";"9";"0";"cb8364ad";;;;;;;;;
"200";"10";"0";"64297cfj";;;;;;;;;
"203";"3";"0";"9sc2sfcf";;;;;;;;;
"204";"4";"0";"f14412ao";;;;;;;;;
"205";"5";"0";"629718ft";;;;;;;;;
"206";"6";"0";"dd244bad";;;;;;;;;
"207";"7";"0";"5302622h";;;;;;;;;
"208";"8";"0";"0202a9ou";;;;;;;;;
"209";"9";"0";"1966325b";;;;;;;;;
"210";"10";"0";"80861fff";;;;;;;;;
"211";"1";"0";"98887f6m";;;;;;;;;
"212";"2";"0";"564ab42j";;;;;;;;;
"213";"3";"0";"013c9ggg";;;;;;;;;
"214";"4";"0";"f76c09dl";;;;;;;;;
"215";"5";"0";"606b6d1t";;;;;;;;;
"216";"6";"0";"da3bca5n";;;;;;;;;
"217";"7";"0";"44h4h68l";;;;;;;;;
"218";"8";"0";"ga3652bf";;;;;;;;;
"219";"9";"0";"4114a8cf";;;;;;;;;
"220";"10";"0";"43715f7p";;;;;;;;;
"221";"1";"0";"5460081f";;;;;;;;;
"222";"2";"0";"fc3c53fj";;;;;;;;;
"223";"3";"0";"cb29035f";;;;;;;;;
"224";"4";"0";"1fda9d2i";;;;;;;;;
"225";"5";"0";"db0b218s";;;;;;;;;
"226";"6";"0";"47d6478r";;;;;;;;;
"227";"7";"0";"7c20738d";;;;;;;;;
"228";"8";"0";"9358a61g";;;;;;;;;
"229";"9";"0";"4901a70g";;;;;;;;;
"230";"10";"0";"1177173o";;;;;;;;;
"231";"1";"0";"7bf9515g";;;;;;;;;
"232";"2";"0";"r96f35ba";;;;;;;;;
"233";"3";"0";"do52bc5c";;;;;;;;;
"234";"4";"0";"11b29b3b";;;;;;;;;
"235";"5";"0";"dd6cf47t";;;;;;;;;
"236";"6";"0";"fcb55a5g";;;;;;;;;
"237";"7";"0";"25b0442a";;;;;;;;;
"238";"8";"0";"2cac2afk";;;;;;;;;
"239";"9";"0";"afb21ffn";;;;;;;;;
"240";"10";"0";"bc0f8c8r";;;;;;;;;
"241";"1";"0";"3693224g";;;;;;;;;
"242";"2";"0";"cf6b699t";;;;;;;;;
"243";"3";"0";"f59812dm";;;;;;;;;
"244";"4";"0";"cmd879cu";;;;;;;;;
"245";"5";"0";"60fc78ap";;;;;;;;;
"246";"6";"0";"d7b421cf";;;;;;;;;
"247";"7";"0";"1a494fdk";;;;;;;;;
"248";"8";"0";"4d17885f";;;;;;;;;
"249";"9";"0";"7fd0630g";;;;;;;;;
"250";"10";"0";"464d83rr";;;;;;;;;
"251";"1";"0";"4029b57f";;;;;;;;;
"252";"2";"0";"n2a79cnp";;;;;;;;;
"253";"3";"0";"89b6532u";;;;;;;;;
"254";"4";"0";"0902339a";;;;;;;;;
"255";"5";"0";"0b45f10f";;;;;;;;;
"256";"6";"0";"b7043fco";;;;;;;;;
"257";"7";"0";"i07c8f4u";;;;;;;;;
"258";"8";"0";"d729fc2k";;;;;;;;;
"259";"9";"0";"504726af";;;;;;;;;
"260";"10";"0";"42b2b8gq";;;;;;;;;
"261";"1";"0";"5d7da39k";;;;;;;;;
"262";"2";"0";"378b2c1t";;;;;;;;;
"263";"3";"0";"0f4923dt";;;;;;;;;
"264";"4";"0";"d9f816ak";;;;;;;;;
"265";"5";"0";"9ff643dl";;;;;;;;;
"266";"6";"0";"c5c171pc";;;;;;;;;
"267";"7";"0";"8a4f7afi";;;;;;;;;
"268";"8";"0";"f2fa1b9q";;;;;;;;;
"269";"9";"0";"bc9f000t";;;;;;;;;
"270";"10";"0";"818b66ar";;;;;;;;;
"271";"1";"0";"2f8apfpr";;;;;;;;;
"272";"2";"0";"ba104l9f";;;;;;;;;
"273";"3";"0";"adb9cs7q";;;;;;;;;
"274";"4";"0";"c3876j5d";;;;;;;;;
"275";"5";"0";"c457193c";;;;;;;;;
"276";"6";"0";"f6a3278d";;;;;;;;;
"277";"7";"0";"bab6af4n";;;;;;;;;
"278";"8";"0";"3716079o";;;;;;;;;
"279";"9";"0";"232b93fm";;;;;;;;;
"280";"10";"0";"6dc8bc0b";;;;;;;;;
"281";"1";"0";"a04776du";;;;;;;;;
"282";"2";"0";"r96668dl";;;;;;;;;
"283";"3";"0";"1051a39j";;;;;;;;;
"284";"4";"0";"6dppa52n";;;;;;;;;
"285";"5";"0";"f899256o";;;;;;;;;
"286";"6";"0";"8af9c3cb";;;;;;;;;
"287";"7";"0";"8907bbaf";;;;;;;;;
"288";"8";"0";"d98ff7ft";;;;;;;;;
"289";"9";"0";"465b3cot";;;;;;;;;
"290";"10";"0";"fd86f2bt";;;;;;;;;
"291";"1";"0";"41c4908o";;;;;;;;;
"292";"2";"0";"5015q9ql";;;;;;;;;
"293";"3";"0";"23cb751i";;;;;;;;;
"294";"4";"0";"a6qf0q2s";;;;;;;;;
"295";"5";"0";"823f178p";;;;;;;;;
"296";"6";"0";"f51dh52h";;;;;;;;;
"297";"7";"0";"9747766j";;;;;;;;;
"298";"8";"0";"m654cd0j";;;;;;;;;
"299";"9";"0";"f1c41cbb";;;;;;;;;
"300";"10";"0";"2fb3cb5r";;;;;;;;;
"301";"1";"0";"d3jd354p";;;;;;;;;
"302";"2";"0";"cbfa827l";;;;;;;;;
"303";"3";"0";"3cf935lr";;;;;;;;;
"304";"4";"0";"52c629ma";;;;;;;;;
"305";"5";"0";"7c87f97n";;;;;;;;;
"306";"6";"0";"535b22dq";;;;;;;;;
"307";"7";"0";"c1c957fj";;;;;;;;;
"308";"8";"0";"5331fdba";;;;;;;;;
"309";"9";"0";"5a247k3q";;;;;;;;;
"310";"10";"0";"385b330f";;;;;;;;;
"311";"1";"0";"129566dc";;;;;;;;;
"312";"2";"0";"2171590f";;;;;;;;;
"313";"3";"0";"7231500f";;;;;;;;;
"314";"4";"0";"a7b61i8b";;;;;;;;;
"315";"5";"0";"1ff89b0d";;;;;;;;;
"316";"6";"0";"27c5cfco";;;;;;;;;
"317";"7";"0";"73a01a0s";;;;;;;;;
"318";"8";"0";"9343502i";;;;;;;;;
"319";"9";"0";"2c64g44b";;;;;;;;;
"320";"10";"0";"b390946b";;;;;;;;;
"321";"1";"0";"37ta3bfs";;;;;;;;;
"322";"2";"0";"6k77585i";;;;;;;;;
"323";"3";"0";"418000bf";;;;;;;;;
"324";"4";"0";"c86b9f9p";;;;;;;;;
"325";"5";"0";"35r8dr5p";;;;;;;;;
"326";"6";"0";"a138k8dh";;;;;;;;;
"327";"7";"0";"42f2bp8p";;;;;;;;;
"328";"8";"0";"9f6772ai";;;;;;;;;
"329";"9";"0";"f315488k";;;;;;;;;
"330";"10";"0";"cla8d1cm";;;;;;;;;
"331";"1";"0";"222c897f";;;;;;;;;
"332";"2";"0";"59fb42bp";;;;;;;;;
"333";"3";"0";"c389bc8s";;;;;;;;;
"334";"4";"0";"7043ad1b";;;;;;;;;
"335";"5";"0";"600190sa";;;;;;;;;
"336";"6";"0";"9962f42f";;;;;;;;;
"337";"7";"0";"28d2998j";;;;;;;;;
"338";"8";"0";"d7973cbm";;;;;;;;;
"339";"9";"0";"ckcc492t";;;;;;;;;
"340";"10";"0";"bc9095ck";;;;;;;;;
"341";"1";"0";"a47a16fl";;;;;;;;;
"342";"2";"0";"3225a26f";;;;;;;;;
"343";"3";"0";"cl2fl40u";;;;;;;;;
"344";"4";"0";"f6ch142g";;;;;;;;;
"345";"5";"0";"f3bcmd0u";;;;;;;;;
"346";"6";"0";"56b9fc8a";;;;;;;;;
"347";"7";"0";"a802bc5s";;;;;;;;;
"348";"8";"0";"gd53774k";;;;;;;;;
"349";"9";"0";"7c64117c";;;;;;;;;
"350";"10";"0";"c8881c7l";;;;;;;;;
"351";"1";"0";"3319208m";;;;;;;;;
"352";"2";"0";"4a88acdn";;;;;;;;;
"353";"3";"0";"29a4b95t";;;;;;;;;
"354";"4";"0";"3a4r123g";;;;;;;;;
"355";"5";"0";"4588607c";;;;;;;;;
"356";"6";"0";"c8a1b35g";;;;;;;;;
"357";"7";"0";"c054c00p";;;;;;;;;
"358";"8";"0";"70d7c36r";;;;;;;;;
"359";"9";"0";"d72f575n";;;;;;;;;
"360";"10";"0";"afd6809i";;;;;;;;;
"361";"1";"0";"c8fabb5l";;;;;;;;;
"362";"2";"0";"b9846d6k";;;;;;;;;
"363";"3";"0";"82abd4bs";;;;;;;;;
"364";"4";"0";"fb84f8bo";;;;;;;;;
"365";"5";"0";"ss64s70j";;;;;;;;;
"366";"6";"0";"26d3177d";;;;;;;;;
"367";"7";"0";"kf2aa18q";;;;;;;;;
"368";"8";"0";"4ffmm63n";;;;;;;;;
"369";"9";"0";"7d85647c";;;;;;;;;
"370";"10";"0";"1933484a";;;;;;;;;
"371";"1";"0";"3f747a6o";;;;;;;;;
"372";"2";"0";"03b45c9n";;;;;;;;;
"373";"3";"0";"0616354t";;;;;;;;;
"374";"4";"0";"1a40d75k";;;;;;;;;
"375";"5";"0";"c4952f5h";;;;;;;;;
"376";"6";"0";"8f04a33j";;;;;;;;;
"377";"7";"0";"487d2d4c";;;;;;;;;
"378";"8";"0";"643a3f0g";;;;;;;;;
"379";"9";"0";"86a5bcob";;;;;;;;;
"380";"10";"0";"18021cdt";;;;;;;;;
"381";"1";"0";"23iac0bl";;;;;;;;;
"382";"2";"0";"db823cfc";;;;;;;;;
"383";"3";"0";"73d8502f";;;;;;;;;
"384";"4";"0";"4fja4fdc";;;;;;;;;
"385";"5";"0";"a77a925u";;;;;;;;;
"386";"6";"0";"b5d493ac";;;;;;;;;
"387";"7";"0";"b6c7c1fb";;;;;;;;;
"388";"8";"0";"fbcb502t";;;;;;;;;
"389";"9";"0";"60sd1c2n";;;;;;;;;
"390";"10";"0";"ff16040j";;;;;;;;;
"391";"1";"0";"5051bf5d";;;;;;;;;
"392";"2";"0";"730056co";;;;;;;;;
"393";"3";"0";"f68f98fr";;;;;;;;;
"394";"4";"0";"5s9da4ds";;;;;;;;;
"395";"5";"0";"9685736f";;;;;;;;;
"396";"6";"0";"24abq45q";;;;;;;;;
"397";"7";"0";"2n9752bn";;;;;;;;;
"398";"8";"0";"c547033t";;;;;;;;;
"399";"9";"0";"5888m68t";;;;;;;;;
"400";"10";"0";"cc2u853t";;;;;;;;;
"401";"1";"0";"f6c9881u";;;;;;;;;
"402";"2";"0";"fa99b45p";;;;;;;;;
"403";"3";"0";"42r85d6n";;;;;;;;;
"404";"4";"0";"gfaba6gc";;;;;;;;;
"405";"5";"0";"3d07061o";;;;;;;;;
"406";"6";"0";"660202bk";;;;;;;;;
"407";"7";"0";"f1a36dks";;;;;;;;;
"408";"8";"0";"db01f03d";;;;;;;;;
"409";"9";"0";"7ua7d89d";;;;;;;;;
"410";"10";"0";"f532d39i";;;;;;;;;
"411";"1";"0";"4bq456qo";;;;;;;;;
"412";"2";"0";"0ff7553q";;;;;;;;;
"413";"3";"0";"6fb4da9n";;;;;;;;;
"414";"4";"0";"111740cf";;;;;;;;;
"415";"5";"0";"dd1f6b6a";;;;;;;;;
"416";"6";"0";"3k901f8i";;;;;;;;;
"417";"7";"0";"d44af35o";;;;;;;;;
"418";"8";"0";"d49c2a7j";;;;;;;;;
"419";"9";"0";"7f4136bb";;;;;;;;;
"420";"10";"0";"47a6868a";;;;;;;;;
"421";"1";"0";"88b84a7p";;;;;;;;;
"422";"2";"0";"226247tu";;;;;;;;;
"423";"3";"0";"6751dbbm";;;;;;;;;
"424";"4";"0";"8140c6fs";;;;;;;;;
"425";"5";"0";"p9f301aj";;;;;;;;;
"426";"6";"0";"0bu4329o";;;;;;;;;
"427";"7";"0";"5949198p";;;;;;;;;
"428";"8";"0";"3fgcaffd";;;;;;;;;
"429";"9";"0";"0f4bfd4b";;;;;;;;;
"430";"10";"0";"81b4f4si";;;;;;;;;
"431";"1";"0";"73655b9a";;;;;;;;;
"432";"2";"0";"29c052ft";;;;;;;;;
"433";"3";"0";"d6aa7b7d";;;;;;;;;
"434";"4";"0";"15j4cfdb";;;;;;;;;
"435";"5";"0";"50d34fbi";;;;;;;;;
"436";"6";"0";"b07d548f";;;;;;;;;
"437";"7";"0";"584b978t";;;;;;;;;
"438";"8";"0";"7868844f";;;;;;;;;
"439";"9";"0";"df7cf61l";;;;;;;;;
"440";"10";"0";"805b7d7r";;;;;;;;;
"441";"1";"0";"3b3045mb";;;;;;;;;
"442";"2";"0";"0ca1563n";;;;;;;;;
"443";"3";"0";"b9907i0k";;;;;;;;;
"444";"4";"0";"85u1c66o";;;;;;;;;
"445";"5";"0";"6cbd6a5f";;;;;;;;;
"446";"6";"0";"1501379r";;;;;;;;;
"447";"7";"0";"fab21a1h";;;;;;;;;
"448";"8";"0";"d1fa719q";;;;;;;;;
"449";"9";"0";"11c5868r";;;;;;;;;
"450";"10";"0";"55836t9o";;;;;;;;;
"451";"1";"0";"p9328cpg";;;;;;;;;
"452";"2";"0";"272l159t";;;;;;;;;
"453";"3";"0";"b773215g";;;;;;;;;
"454";"4";"0";"1155d02g";;;;;;;;;
"455";"5";"0";"145f370q";;;;;;;;;
"456";"6";"0";"385a8jdj";;;;;;;;;
"457";"7";"0";"935oof9l";;;;;;;;;
"458";"8";"0";"8666d1af";;;;;;;;;
"459";"9";"0";"6732036f";;;;;;;;;
"460";"10";"0";"p275pa7f";;;;;;;;;
"461";"1";"0";"d7b2c6bo";;;;;;;;;
"462";"2";"0";"f21641au";;;;;;;;;
"463";"3";"0";"f879bc6f";;;;;;;;;
"464";"4";"0";"9c924f3l";;;;;;;;;
"465";"5";"0";"7q9qdcdn";;;;;;;;;
"466";"6";"0";"ca143b3s";;;;;;;;;
"467";"7";"0";"cq900b0l";;;;;;;;;
"468";"8";"0";"a38s0a2i";;;;;;;;;
"469";"9";"0";"8dc4aa8d";;;;;;;;;
"470";"10";"0";"09a6423b";;;;;;;;;
"471";"1";"0";"051ba65l";;;;;;;;;
"472";"2";"0";"f7ccd97m";;;;;;;;;
"473";"3";"0";"c621ud0p";;;;;;;;;
"474";"4";"0";"c95cf46d";;;;;;;;;
"475";"5";"0";"92a7fbaq";;;;;;;;;
"476";"6";"0";"f64b75bu";;;;;;;;;
"477";"7";"0";"67k2935p";;;;;;;;;
"478";"8";"0";"0513797b";;;;;;;;;
"479";"9";"0";"76abf08h";;;;;;;;;
"480";"10";"0";"296a40il";;;;;;;;;
"481";"1";"0";"421dad4t";;;;;;;;;
"482";"2";"0";"79607a1a";;;;;;;;;
"483";"3";"0";"aba9cd7p";;;;;;;;;
"484";"4";"0";"2f0180fa";;;;;;;;;
"485";"5";"0";"8ib9a6dq";;;;;;;;;
"486";"6";"0";"65231aaa";;;;;;;;;
"487";"7";"0";"fbfb557u";;;;;;;;;
"488";"8";"0";"2c6b5bfa";;;;;;;;;
"489";"9";"0";"550d9qdt";;;;;;;;;
"490";"10";"0";"23b2d97b";;;;;;;;;
"491";"1";"0";"08d4f29t";;;;;;;;;
"492";"2";"0";"f620b37p";;;;;;;;;
"493";"3";"0";"f68513bk";;;;;;;;;
"494";"4";"0";"3649cc1m";;;;;;;;;
"495";"5";"0";"9a20bb8a";;;;;;;;;
"496";"6";"0";"4913bfbm";;;;;;;;;
"497";"7";"0";"d9c3904q";;;;;;;;;
"498";"8";"0";"a16323bu";;;;;;;;;
"499";"9";"0";"b17b3f6q";;;;;;;;;
"500";"10";"0";"p1a4d91b";;;;;;;;;
"501";"1";"0";"u92c027b";;;;;;;;;
"502";"2";"0";"a225853g";;;;;;;;;
"503";"3";"0";"bf9a222c";;;;;;;;;
"504";"4";"0";"346b633d";;;;;;;;;
"505";"5";"0";"1f2da94s";;;;;;;;;
"506";"6";"0";"jc9bf9ak";;;;;;;;;
"507";"7";"0";"9c1a0b5k";;;;;;;;;
"508";"8";"0";"0df69c2n";;;;;;;;;
"509";"9";"0";"d735261l";;;;;;;;;
"510";"10";"0";"5053080f";;;;;;;;;
"511";"1";"0";"78kd4kcf";;;;;;;;;
"512";"2";"0";"dd300b5c";;;;;;;;;
"513";"3";"0";"80f96ddg";;;;;;;;;
"514";"4";"0";"j28842co";;;;;;;;;
"515";"5";"0";"4090a56o";;;;;;;;;
"516";"6";"0";"071a4d3t";;;;;;;;;
"517";"7";"0";"2o01089g";;;;;;;;;
"518";"8";"0";"ppc188cd";;;;;;;;;
"519";"9";"0";"8a2264aj";;;;;;;;;
"520";"10";"0";"776fd5fb";;;;;;;;;
"521";"1";"0";"a5j8a44b";;;;;;;;;
"522";"2";"0";"9cd1007j";;;;;;;;;
"523";"3";"0";"34ca73bm";;;;;;;;;
"524";"4";"0";"4991f7bq";;;;;;;;;
"525";"5";"0";"7224f8id";;;;;;;;;
"526";"6";"0";"6825934m";;;;;;;;;
"527";"7";"0";"h813fcfg";;;;;;;;;
"528";"8";"0";"fa535adq";;;;;;;;;
"529";"9";"0";"37p6d8cc";;;;;;;;;
"530";"10";"0";"387b730s";;;;;;;;;
"531";"1";"0";"198f0a1c";;;;;;;;;
"532";"2";"0";"558d0c2d";;;;;;;;;
"533";"3";"0";"bf78d08p";;;;;;;;;
"534";"4";"0";"3aaq275b";;;;;;;;;
"535";"5";"0";"5b64296a";;;;;;;;;
"536";"6";"0";"a261a43c";;;;;;;;;
"537";"7";"0";"cb0a2c1d";;;;;;;;;
"538";"8";"0";"83d4kb0l";;;;;;;;;
"539";"9";"0";"4q5002ff";;;;;;;;;
"540";"10";"0";"88cb389p";;;;;;;;;
"541";"1";"0";"f38909na";;;;;;;;;
